NiO/ZnO,TGS 826,TGS 822,TGS 2600,TGS 2602,ZnO,Cr-doped ZnO,Class
1.22765,1.0,1.06667,0.95652,0.55556,,,Acetone 5 ppm
1.27589,1.0,1.06667,0.95652,0.55556,,,Acetone 5 ppm
1.35618,1.0,1.06667,0.95652,0.55556,,,Acetone 5 ppm
1.40553,1.0,1.06667,0.95652,0.55556,,,Acetone 5 ppm
1.46229,1.0,1.06667,0.95652,0.55556,,,Acetone 5 ppm
1.46229,1.0,1.06667,0.95652,0.55556,,,Acetone 5 ppm
1.46229,1.0,1.06667,0.95652,0.55556,,,Acetone 5 ppm
1.46229,1.0,1.06667,0.95652,0.55556,,,Acetone 5 ppm
1.46229,1.0,1.06667,0.95652,0.55556,,,Acetone 5 ppm
1.46229,1.0,1.06667,0.95652,0.55556,,,Acetone 5 ppm
1.46229,1.0,1.06667,0.95652,0.55556,,,Acetone 5 ppm
1.46229,1.0,1.06667,0.95652,0.55556,,,Acetone 5 ppm
1.46229,1.0,1.06667,0.95652,0.55556,,,Acetone 5 ppm
1.46229,1.0,1.06667,0.95652,0.55556,,,Acetone 5 ppm
1.46229,1.0,1.06667,0.95652,0.55556,,,Acetone 5 ppm
1.46229,1.0,1.06667,0.95652,0.55556,,,Acetone 5 ppm
1.46229,1.0,1.06667,0.95652,0.55556,,,Acetone 5 ppm
1.46229,1.0,1.06667,0.95652,0.55556,,,Acetone 5 ppm
1.46229,1.0,1.06667,0.95652,0.55556,,,Acetone 5 ppm
1.46229,1.0,1.06667,0.95652,0.55556,,,Acetone 5 ppm
1.46229,1.0,1.06667,0.95652,0.55556,,,Acetone 5 ppm
1.46229,1.0,1.06667,0.95652,0.55556,,,Acetone 5 ppm
1.46229,1.0,1.06667,0.95652,0.55556,,,Acetone 5 ppm
1.46229,1.0,1.06667,0.95652,0.55556,,,Acetone 5 ppm
1.46229,1.0,1.06667,0.95652,0.55556,,,Acetone 5 ppm
1.46229,1.0,1.06667,0.95652,0.55556,,,Acetone 5 ppm
1.46229,1.0,1.06667,0.95652,0.55556,,,Acetone 5 ppm
1.46229,1.0,1.06667,0.95652,0.55556,,,Acetone 5 ppm
1.46229,1.0,1.06667,0.95652,0.55556,,,Acetone 5 ppm
1.48119,1.0,1.06667,0.95652,0.55556,,,Acetone 5 ppm
1.44834,1.0,1.06667,0.95652,0.55556,,,Acetone 5 ppm
1.41691,1.0,1.06667,0.95652,0.55556,,,Acetone 5 ppm
1.38682,1.0,1.06667,0.95652,0.55556,,,Acetone 5 ppm
1.30375,1.0,1.06667,0.95652,0.55556,,,Acetone 5 ppm
1.27823,1.0,1.06667,0.95652,0.55556,,,Acetone 5 ppm
1.25369,1.0,1.06667,0.95652,0.55556,,,Acetone 5 ppm
1.23008,1.0,1.06667,0.95652,0.55556,,,Acetone 5 ppm
1.20733,1.0,1.06667,0.95652,0.55556,,,Acetone 5 ppm
1.14388,1.0,1.06667,0.95652,0.55556,,,Acetone 5 ppm
1.12419,1.0,1.06667,0.95652,0.55556,,,Acetone 5 ppm
1.10517,1.0,1.06667,0.95652,0.55556,,,Acetone 5 ppm
1.08677,1.0,1.06667,0.95652,0.55556,,,Acetone 5 ppm
1.06898,1.0,1.06667,0.95652,0.55556,,,Acetone 5 ppm
1.00329,1.0,1.06667,0.95652,0.55556,,,Acetone 5 ppm
0.9881,1.0,1.06667,0.95652,0.55556,,,Acetone 5 ppm
0.97338,1.0,1.06667,0.95652,0.55556,,,Acetone 5 ppm
0.95908,1.0,1.06667,0.95652,0.55556,,,Acetone 5 ppm
1.0,1.0,1.06667,0.95652,0.55556,,,Acetone 5 ppm
0.99723,1.0,1.06667,0.95652,0.55556,,,Acetone 5 ppm
0.99723,1.0,1.06667,0.95652,0.55556,,,Acetone 5 ppm
0.99723,1.0,1.06667,0.95652,0.55556,,,Acetone 5 ppm
0.99723,1.0,1.06667,0.95652,0.55556,,,Acetone 5 ppm
0.99723,1.0,1.06667,0.95652,0.55556,,,Acetone 5 ppm
0.99723,1.0,1.06667,0.95652,0.55556,,,Acetone 5 ppm
0.99723,1.0,1.06667,0.95652,0.55556,,,Acetone 5 ppm
0.99723,1.0,1.06667,0.95652,0.55556,,,Acetone 5 ppm
0.99723,1.0,1.06667,0.95652,0.55556,,,Acetone 5 ppm
0.99723,1.0,1.0,0.95652,0.55556,,,Acetone 5 ppm
0.99723,1.0,1.06667,0.95652,0.55556,,,Acetone 5 ppm
0.99723,0.85714,1.0,0.95652,0.55556,,,Acetone 5 ppm
0.99723,0.85714,1.0,0.95652,0.55556,,,Acetone 5 ppm
0.99723,0.85714,0.84211,0.95652,0.55556,,,Acetone 5 ppm
0.99723,0.85714,0.72727,0.95652,0.55556,,,Acetone 5 ppm
0.99723,1.0,0.64,0.95652,0.55556,,,Acetone 5 ppm
0.99723,0.85714,0.43243,0.95652,0.55556,,,Acetone 5 ppm
0.99723,0.85714,0.31373,0.95652,0.55556,,,Acetone 5 ppm
0.99723,0.85714,0.30189,0.95652,0.55556,,,Acetone 5 ppm
0.99723,0.85714,0.21622,0.95652,0.55556,,,Acetone 5 ppm
0.99723,0.85714,0.12214,0.95652,0.55556,,,Acetone 5 ppm
0.99723,0.85714,0.09249,0.95652,0.55556,,,Acetone 5 ppm
0.99723,0.85714,0.08205,0.95652,0.55556,,,Acetone 5 ppm
0.99723,0.85714,0.07547,0.95652,0.55556,,,Acetone 5 ppm
0.99723,0.85714,0.07018,0.95652,0.55556,,,Acetone 5 ppm
0.99723,0.85714,0.06987,0.95652,0.55556,,,Acetone 5 ppm
0.99723,0.85714,0.0708,0.95652,0.55556,,,Acetone 5 ppm
0.99723,0.4,0.07048,0.95652,0.55556,,,Acetone 5 ppm
